DateTime,Temp (deg),EC@25 (uS/cm),SensorID
30/04/2025 4:48,15.13,1295,Odyssey15013
30/04/2025 2:51,15.33,1957,Odyssey15014
30/04/2025 2:48,15.38,1340,Odyssey15013
30/04/2025 0:51,15.43,1960,Odyssey15014
30/04/2025 0:48,15.6,1371,Odyssey15013
29/04/2025 22:51,15.61,1974,Odyssey15014
29/04/2025 22:48,15.88,1399,Odyssey15013
29/04/2025 20:51,16.01,1980,Odyssey15014
29/04/2025 20:48,16.17,1399,Odyssey15013
29/04/2025 18:51,16.93,2011,Odyssey15014
29/04/2025 18:48,16.46,1329,Odyssey15013
29/04/2025 16:51,17.65,2001,Odyssey15014
29/04/2025 16:48,16.74,1288,Odyssey15013
29/04/2025 14:51,17.57,1977,Odyssey15014
29/04/2025 14:48,16.54,1326,Odyssey15013
29/04/2025 12:51,16.73,1906,Odyssey15014
29/04/2025 12:48,16.3,1412,Odyssey15013
29/04/2025 10:51,15.61,1960,Odyssey15014
29/04/2025 10:48,15.68,1502,Odyssey15013
29/04/2025 8:51,15.42,1963,Odyssey15014
29/04/2025 8:48,15.43,1312,Odyssey15013
29/04/2025 6:51,15.61,1974,Odyssey15014
29/04/2025 6:48,15.54,1271,Odyssey15013
29/04/2025 4:51,15.81,1997,Odyssey15014
29/04/2025 4:48,15.73,1257,Odyssey15013
29/04/2025 2:51,15.98,2001,Odyssey15014
29/04/2025 2:48,15.9,1274,Odyssey15013
29/04/2025 0:51,16.25,2007,Odyssey15014
29/04/2025 0:48,16.13,1281,Odyssey15013
28/04/2025 22:51,16.63,2018,Odyssey15014
28/04/2025 22:48,16.41,1319,Odyssey15013
28/04/2025 20:51,16.96,1970,Odyssey15014
28/04/2025 20:48,16.58,1298,Odyssey15013
28/04/2025 18:51,17.37,1953,Odyssey15014
28/04/2025 18:48,16.91,1257,Odyssey15013
28/04/2025 16:51,17.61,1940,Odyssey15014
28/04/2025 16:48,16.97,1246,Odyssey15013
28/04/2025 14:51,17.44,1919,Odyssey15014
